Probe Name	perc_Samples_above_Threshold	20150715_PP1_PR13-126-11B 15-1_10.RCC	20150715_PP1_PR13-126-12B_12.RCC	20150715_PP1_PR13-126-1B_01.RCC	20150715_PP1_PR13-126-5B_04.RCC	20150715_PP1_PR13-126-6B_06.RCC	20150715_PP1_PR13-126-7B_05.RCC	20150715_PP1_PR13-126-9B_08.RCC	20150715_PP2_PR13-126-13B_01.RCC	20150715_PP2_PR13-126-16B_02.RCC	20150715_PP2_PR13-126-3B 15-2_06.RCC	20151008_PP3_PR13-126-03A_01.RCC	20151008_PP3_PR13-126-06A_02.RCC	20151008_PP3_PR13-126-11A_03.RCC	20160226_26FEBCITN_PR1312644A_07.RCC	20160226_26FEBCITN_PR1312644B_08.RCC	20160226_26FEBCITN_PR1312647A_05.RCC	20160226_26FEBCITN_PR1312647B_06.RCC	20160325_Lysates1A_PR13 126 01A_05.RCC	20160325_Lysates1A_PR13 126 05A_06.RCC	20160325_Lysates1A_PR13 126 07A_07.RCC	20160325_Lysates1A_PR13 126 09A_02.RCC	20160325_Lysates1A_PR13 126 12A_03.RCC	20160325_Lysates1A_PR13 126 13A_09.RCC	20160325_Lysates1A_PR13 126 16A_04.RCC
ID	xx	22-024_D015:22-024_D015	22-025_D015:22-025_D015	58-001_D015:58-001_D015	58-003_D015:58-003_D015	58-004_D015:58-004_D015	58-005_D015:58-005_D015	22-023_D015:22-023_D015	58-007_D015:58-007_D015	22-026_D015:22-026_D015	58-002_D015:58-002_D015	58-002_D000:58-002_D000	58-004_D000:58-004_D000	22-024_D000:22-024_D000	22-029_D000:22-029_D000	22-029_D015:22-029_D015	58-008_D000:58-008_D000	58-008_D015:58-008_D015	58-001_D000:58-001_D000	58-003_D000:58-003_D000	58-005_D000:58-005_D000	22-023_D000:22-023_D000	22-025_D000:22-025_D000	58-007_D000:58-007_D000	22-026_D000:22-026_D000
FLAG				FLAG	FLAG	FLAG		FLAG	FLAG							FLAG									
CCL7	91.67	23.5	12.88	26.25	20.07	22.03	13.01	23.16	24.57	51.14	35.34	19.42	10.69	32.18	16.52	7.38	9.8	22.67	15.37	26.8	72.38	56.3	204.48	32.1	27.56
CCL8	100	161.75	179.77	624.35	196.41	155.76	71.55	162.14	312.45	279.92	342.97	347.6	98.93	205.16	71.06	151.77	106.19	276.55	409.39	339.14	266.36	954.04	625.45	172.33	266.37
CCND3	100	655.29	311.29	530.6	569.15	668.65	584.63	827.24	623.14	900.31	910.44	475.77	915.74	442.51	537.06	497.75	269.57	242.1	598.01	419.55	500.87	456.69	433.01	310.87	488.35
CCR1	100	128.57	36.9	213.74	118.99	129.01	103.27	150.01	103.56	135.92	239.04	271.87	175.13	305.73	145.42	151.77	119.26	100.65	493.22	188.64	176.61	538.02	396.92	255.11	321.48
CCR2	100	91.24	17.98	418.11	100.35	91.25	14.64	70.59	86.01	39.03	257.75	234.97	254	285.62	51.23	78.46	101.29	43.52	610.59	198.95	150.55	381.62	408.95	192.6	384.25
CCR3	91.67	22.12	15.14	28.12	15.77	10.5	18.7	17.65	11.62	22.88	31.18	205.84	180.47	257.46	39.66	10.29	75.97	26.3	311.58	179.37	136.08	303.42	276.64	141.92	186.77
CCR4	95.83	19.35	24.6	108.75	22.94	44.05	11.75	24.27	47.39	28.26	60.28	234.97	161.76	185.05	47.92	36.01	137.23	18.13	335.33	148.44	110.02	250.24	360.84	131.78	205.14
CCR5	95.83	95.39	24.6	288.74	104.65	118	47.97	109.2	100.05	82.09	182.92	139.82	127	116.66	34.7	77.17	122.53	42.62	236.13	65.97	52.11	178.3	9.25	89.54	140.84
CCR6	100	82.95	29.33	283.11	65.95	50.35	16.26	34.19	63.19	32.3	70.67	200.02	181.81	221.25	57.84	46.3	109.46	21.76	472.26	147.41	162.13	319.06	396.92	190.91	195.95
CCR7	79.17	17.97	12.88	138.74	14.34	10.5	11.75	14.34	11.62	15.25	39.49	42.72	38.77	148.84	18.18	30.87	26.14	11.79	170.46	30.93	31.85	59.43	192.45	38.86	53.58
CCR9	54.17	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	133.99	112.3	132.75	6.88	12.86	46.56	10.88	184.43	94.84	121.6	140.76	216.5	77.72	122.47
CCRL2	100	58.06	22.71	161.24	53.04	67.65	30.9	63.97	71.97	48.45	199.55	306.82	189.83	273.55	84.28	87.46	127.43	42.62	537.93	247.4	243.2	628.73	685.59	244.98	372
CD14	100	1823.47	431.45	2570.52	1916.76	1403.38	1316.44	852.61	1427.07	1251.56	6425.02	2305.04	548.11	1005.7	950.18	1049.52	682.09	723.57	2501.04	554.59	746.97	1898.7	1888.39	1069.44	1907.47
CD160	66.67	11.75	16.08	58.12	20.07	10.5	11.75	10.12	11.62	15.25	24.94	215.55	118.98	233.32	61.14	7.38	126.61	7.62	359.09	277.29	144.76	350.34	408.95	152.05	200.55
CD163	100	670.5	225.19	3153.63	1473.77	1006.91	1278.22	731.28	1442.87	738.82	2278.17	2188.52	743.29	1512.57	798.16	1138.27	615.1	464.25	3787.88	478.31	1082.82	3472.08	2032.72	1148.85	2028.41
CD164	100	3540.49	3303.05	2728.02	2270.86	2864.96	3833.03	4814.53	3944.2	1336.34	2242.83	2163.28	2418.36	2723.43	3397.53	3080.4	3076.34	3842.74	2333.37	1663.77	3323.72	2339.75	2261.25	2620.39	1723.77
CD180	100	95.39	35.01	470.61	120.42	177.78	56.92	81.62	157.98	61.9	299.32	368.96	196.52	454.58	122.28	140.19	173.18	156.86	674.86	169.06	133.18	525.5	517.2	260.18	399.56
CD19	100	35.94	61.5	770.6	47.31	22.03	43.91	70.59	68.46	39.03	114.32	149.53	125.66	394.23	52.88	50.16	63.72	24.48	695.82	245.34	234.51	203.32	589.37	170.64	185.24
CD1A	79.17	123.04	12.88	28.12	21.5	10.5	11.75	18.75	11.62	15.25	22.86	155.35	74.86	132.75	170.21	30.87	46.56	9.07	215.17	81.44	112.91	181.42	276.64	82.78	131.66
