,Tbet,CD27,CD223,CD25,CD197,CD8a,CD152,CD103,CD107a,MIP1b,CD39,CD137,CD14,IFNg,CD127,IL-2,CD4,CD183,CD274,CD326,CD20,CD56,TNFa,CD3,Ki67,CD45,GZMB,CD95,CD279,CD45RA,File,PatientID,DAY
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.12448",0.828179143,0,0,0,0,0,0,0,4.668062257,0,0,0,0.121904366,0,0.887154738,0,0,0.318598746,0,0,0,5.131617987,0.066380699,0.714087476,0,1.057614989,0,4.10655462,0.146901445,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.23501",0,0,0,0,0,0,0,0.000998348,3.544692967,0,0.397336988,0,0,0.087807264,0,0,0,0,1.564209326,0,0,5.633722876,0.328329174,0.08477475,0,0.102759318,0,4.092196315,0,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.16201",0,0,0,0.425635627,0,0,0,0,3.533986833,0.666968379,0.186404918,0,0.123454271,0,0,0,0.096192944,0,0,0,0.409350355,4.02544002,0,0,0,0,0,3.017492516,0,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.5920",0,4.051446528,1.588524269,2.575172145,0.839178645,5.509484388,1.352044876,5.041928464,2.668272002,2.337988074,6.517908335,2.702433846,0.850923753,0,0.35731661,0.921400711,0,2.463988067,0.72880635,0.927534384,0.345101934,1.423552729,0,2.391666342,0,4.775110743,0.731519451,2.558851661,3.717196359,1.006400115,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.10418",0,0,0,0.129402695,0,0,0.688917201,0,2.712965514,0,0,0,0,0,0,0,0,0,1.061498028,0,0.744402398,5.248411534,0,0.369661014,0,0,1.241274767,3.273834181,0.007488849,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.30485",0,0,0,0.069472991,0,0,0,0,2.714515272,0,0.282906238,0,0,0.37666248,0,0,0,0,0.248077765,0,0.396425042,3.963835748,0,0.551916378,0,0.136970158,0,2.560144122,0,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.10560",1.557415438,0.425701434,1.692366277,0,0,0.245586051,0.001125019,1.723265306,3.821971355,1.250298776,0,0,0.314355209,0,0,0,0,1.292739922,0,0,2.104558252,1.851033876,0,0,0.127926247,3.762266055,0.380563037,0,1.926699809,0,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.27198",3.581165102,0.671530247,0,0,0,0,0,0,1.142481514,5.751060477,0.472851256,0,0,0,0,0,0,0,0,1.20754199,0,2.779112242,1.335851128,0,1.062167119,4.71262936,4.950507775,1.907975197,0.589236454,4.867536624,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-17-19 TIL105-58-005-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.37",1.477868682,0,0,0,0,0,0,0,0,1.01837304,0,0,0,0,0,0.583428476,0,0,0,0,0.256591154,0,0.554227808,0,1.326110856,0,0,0,0,0,"export_Ex_5-17-19 TIL105-58-005-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-005-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.18110",2.028502852,0.678301255,0,0.93771494,0,3.414169508,0,0,1.599010103,5.314696227,1.17596889,0.449628243,0,4.109059854,0.72558183,0.715236131,0,0.044583135,0.876741328,0,0,0,3.487540917,3.886483952,0,5.203697791,0,3.970200887,3.401324558,0,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.7251",0,0,0,0,0.056030355,0,0,0,3.469765707,0.969930054,0.618442097,0,0.70667713,0,0,0,0,0,0,0,0,4.350938683,0,0,0,0.223028341,0,3.826355127,0,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.540",0.452123584,0.545091547,0.465361496,0.438584758,0.09028292,0.383056976,3.548629059,0,2.199598587,2.761457941,3.688620641,0,0,0.430796754,1.858998506,1.699293577,3.190019228,0.696396076,1.024245895,0.718119538,0,0,3.403049756,4.511702906,0.571059597,5.229691512,0,4.118980526,3.822285052,0.434601924,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.18884",0,0.049910016,0,0,1.043637591,1.416138093,0,0,0,0,0,0,0,2.834266812,1.463266886,1.322851167,1.65923602,1.496339911,0.67964656,0.730415983,0,0,0,4.010105734,0,5.290656859,0.223990893,4.616785479,0.697144756,0.229405963,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.11054",0.865280465,2.602038748,1.077154656,0,1.233546547,5.783008378,0.858381047,0,0.979471112,4.296377201,0,0,0.144930714,3.606895941,0,1.47512196,0,1.116016734,0,0,0,0.41421713,3.070420479,4.452840224,2.208245185,5.107088724,2.563922396,4.022733387,2.476634816,1.947683922,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.1470",0.59180777,3.022469666,0.973379706,0.650285123,1.03498274,0.275955861,2.220112553,0,1.994819063,1.470185331,5.0933209,0.618685515,0,0.583348289,1.565171266,1.386520797,4.797374183,3.067267673,0.26592458,0,0,0,0.462224669,3.860562312,0.363365371,5.736457477,0.108001636,4.703666464,4.735282529,0.714822653,"export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-21-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.17334",0,0,0,0.12567199,0.312511784,0,0,0,3.034495127,1.110707936,1.339773324,0,0,0,0,0,0,0.044892617,0,0,0,4.263695404,0.226596607,0,2.01276769,0,0,2.933853598,0,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.17763",0,0,0,0.379405968,0,1.403614153,0,0,2.898548097,2.016486059,2.111667031,1.067381685,2.058945002,0.22036761,0,0,0.197827217,1.590391369,2.109973127,6.023065834,0.169936456,0,0.132237033,0.122942886,1.410789245,2.492498417,0,3.60321195,0,0.997818099,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.13156",0.489280263,0,0,0.756174633,0,0,0,0,1.440642675,1.306414914,0.024976066,0,0,0,0,0.440572208,0.602468039,0.469904274,0.520889896,1.523819105,0.579720803,5.159340908,0,0.412764608,2.478514327,0,0.210144911,3.743845422,0.583502491,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.5454",4.226098343,0.706575196,0.020798648,1.0377136,0.420761756,0,0,0,0,2.026311118,0,0.666884306,0,0,0.769684182,0.048047486,0,0,0,0,0.035908349,3.829063675,0,0.106326302,0.680775144,4.552440642,3.844003882,1.677393308,0,3.248440832,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
