	22-022-Day-15	22-026-Day-15	22-029-Day-15	58-001-Day-15	58-006-Day-15	58-007-Day-15	58-008-Day-15	58-003	58-001-Pre	58-003-Pre	58-006-Pre	58-007-Pre	58-008-Pre	22-022-Pre	22-026-Pre	22-029-Pre
SCRN1	2280.9974	3144.997	1850.76354	1017.996303	1498.1694	2342.3746	2318.004	1031.99954	1739.001065	1278.05144	851.9997	1523.00388	1575	1046	762.99911	1156.0002
SCRN2	15.0677	42.9414	74.1162	62.7596	112.68944	66.00036	86.7438	354.1024	87	9.19875	87	69.9553	44	127	44.51122	52.48387
SCRN3	88.2045	123.3681	96.8053	149.59226	108.14156	93.74227	114.3935101	144.2293	66.974	161.18462	47.0525	110.80495	116.2258	20.6151	216.7976	108.257
SCRT1	0	4	5	8	0	5	20	38	0	3	0	2	0	0	0	2
SCRT2	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	6
SCT	0	0	0	0	7	14	0	0	9	0	0	2	0	0	0	6
SCTR	0	0	7.39576	3.00764	1.14352	7	28.1904	35.4271	18.9228	8.419259	5	10.593	31.36374	29.7253	11.6233	8.27097
SCUBE1	92.9709	32.4191	45.5106	109.158	12.1153	56.74016	240.06511	128.616	53.553	53.0321	18.1894	43.4534	102.42	46.1113	76.2562	108.237
SCUBE2	119.51135	32.60794	243.08178	228.8064	5	483.8236	466.4184	53	73.21079	3.69544	0	16.99997	0	118	72.60538	218.36919
SCUBE3	257.438	71.8131	210.84	170.699	207.821	136.853	1045.94	192.573	84.6352	90.626	112.624	154.359	437.38	10.5041	185.342	211.761
SCX	106	333	40	150	388	229	105	295	90	100	8	28	33	0	29	41
SCYL1	830.33964	1109.862944	375.71462	509.0446	1260.8944	1102.5539	887.672	1231.6662	659.131	490.83968	455.9453783	357.9175	177.0005	316.03	302.02032	291.4072
SCYL2	471.16346	1380.983	1478.0873	545.87412	453.1337	781.5454	1012.7899	227.038	1666.732255	1500.3338	1527.574	946.1641	1561.946	516.979	855.991	1038.925
SCYL3	160.5496	365.068	128.899	124.318	174.7529	190.5985956	405.7133	54.5266	82.11369	164.946	200.343	163.249	153.479	0	183.0586	69.7196
SDAD1	361.65	822.13552	262.959	407.3329	722.704	626.973	534.479	748.142	185.858	996.758	473.9923	536.4040008	522.829	704.5602064	774.6906	461.0911
SDC1	471.99995	1663.9737	1434.9896	783.9996	1188.99914	1383.9074	571.00084	626.113	786.0002	116.9572	28.6031	88	185.9997	0	521.99988	953.06297
SDC2	1703.116	163.64709	753.54531	218.2336	411.6853	891.2287	944.1848	83.3459	299.83135	96.69297	153.9762	391.7351	215.8195	305.625	429.8291	405.6967
SDC3	239.664	140.529	79.265	391.923	435.398	437.315	100.529	450.423	172.077	102.586	211.22	382.334	71.1523	334.541	11.1519	76.0834
SDC4	1284	4219	1077	422	1428	2107	1934	1565	469	1651	2994	1303	3660	837	434	592
SDCBP	1051.6643	1632.0062	964.1256	812.4585	562.5723	1576.4025	986.382	682.1135	1450.0404	2323.617	1983.143	3834.871	1142.3407	1204.0688	1526.7571	814.987
SDCBP2	13	113.2834	18.86438	37.99997	9	39.87067	189.5598	18.46296	13	11	18.9766978	38.22926	99.9454	0	19.00002	19.99995
SDCCAG3	184.49546	409.51213	132.0026	205.3945	239.3921	287.47459	299.6256	451.5072	131.9916	180.58628	96.795764	119.47667	85.02097	2	96.9177	76.02861
SDCCAG8	527.14082	225.7647	649.4376828	687.4003	877.6937	953.5116	448.0247	815.456	769.7538	1371.24693	1227.45116	1380.0178	339.1562	1148.0646	1372.6214	616.27157
SDE2	560.73	777.778	526.052	369.751	921.851	602.81	662.073	932.619	396.798	1011.5	576.178	440.392	271.18	483.186	598.967	584.132
SDF2	25.655	69.80749	25.0547	19.3911	67.4819	58.7941	31.4321	0	4.51871	26.1306067	1.12152901605963e-321	23.8585	6.30841	0	0	0
SDF2L1	75	155.367	37	73	339.181	149.312	142	106	64	38.1093	22.1399	38.7367	14	95	82.0513	29
SDF4	1.76E-81	494.548	476.405	263.365	486.548	766.502	1093.48	821.82	510.054	534.101	379.399	534.943	417.83	869.218	565.87	447.805
SDHA	266.11344	2432.4691	18.2882	66.8523	0	300.182953	1591.6298	428.6694	153.7873	84.64630229	538.8099	1.61554	367.714	302.023	80.82853	205.868
SDHAF1	24	81	29	84	101	90	61	82	34	28	12	31	37	0	20	22
SDHAF2	105.83942	65.7619	140.9018	80.22149	163.5955	164.5332	133.00055	195.9094	84.66789	242.15134	29.9299	120.9311	139.96139	49.4952	42.45845273	75.11183
SDHAF3	67.2358	67.021	34.84539	3.21839	76.9995	45.6684	62.1138	0	76.8753	50.40967	44.10662	88.0588	84.90033	0	142.9996	37.00005
SDHAF4	174.717	113.642	59.131	55.3412	208.276	96.6402	180.07	61.9996	82.9429	140.072	134.229	126.171	46.9523	1.77418	108.373	70.6227
SDHB	12.2751	563.849	181.8383	274.44018	224.4949	488.8294	144.1719	79.4356	33.0646	137.427	343	537.4297	495.955	0	163.64	24.13812
SDHC	776.7449	1008.8319	1392.871	530.0608	1114.8579	776.9094	1011.2605	1316.5864	852.47113	873.31482	769.64379	690.4995	1039.9054	733.368	703.6214	764.5264
SDHD	225.1154	175.3522	172.35601	214.59188	263.0762	359.6497973	256.0432	258.80339	384.7167	432.6677	207.3979	289.38341	459.40147	362.8249	503.07284	222.41034
SDK1	1090.1502	388.00029	461.9149	171.5199	231.3279	217.9524	108.9528	327.754	290.8244	114.99993	160.258	80.00003	31.2157	214.1339	275.824	386.91856
SDK2	295.3147	1	99.5622	242.3843	45.0421	51.12599	255.314	475.2028	245.2609	328.4936	2.51432	24.58792	88.4084	6.0993	32.80196	58.2342
SDR16C5	0	37	37	0	10	0	1	13	0	13.00004	36	18.00005	0	0	0	40.00004
SDR39U1	129.92922	141.94024	134.79747	107.26554	29.0111	246.34856	118.60741	91.57809	119.9947	120.6647	35.10708	69.256	17.3253	0	125.1779	71.8246
SDR42E1	59.8518	89.9173	104.88446	74.0249	157.268357	149.54446	232.7423	276.11116	67.16884	224.81986	238.5069	147.89625	100.691	28.4689	78.6623	89.7236
SDR42E2	0	0	2	0	0	0	0	0	0	3	0	9	6	0	0	10
SDR9C7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6
SDS	9	63.84482	21.4394	48.9518	39.7522	227.49053	18.15191	66.0985	7.64019	17.66817	60.132	25.5161	17	0	23.674043	30.01765
SDSL	61.0792	114.1433002	36.01218	53.185722	57.3357	88.73903	69.1071	29.0261	56.1254	37.23727	11.2729	46.6574	40.55006	47	28.35388	57.22997
SEBOX	0	0	0	0	2	0	1.04741916918344e-321	11	0.312035	0	0	0	0	0	0	1.84484112157121e-320
SEC11A	1340.543	494.7272	356.7648	285.42008	1763.9766	594.2498	586.4373	428.5674	746.7578	602.713	2050.43194	1259.0186	864.1116	205.166	1289.00721	825.783
SEC11C	320.435	252.146	385.7712	284.12368	288.11521	413.1386	647.3906	91.9811	612.1092	302.5958	246.4116	547.7429	350.3932	144.164	659.6166	456.92703
SEC13	1029.13758	1176.2493	471.047267	412.275	1347.4284	1220.78091	1449.1477	957.6493	312.47008	515.4624001	209.371	376.97448	933.806	399.572	351.2374	313.16817
SEC14L1	1450.7373	2100.13553	532.07842	1032.07954	1059.67579	1252.5388	908.6622	829.84259	1700.81306	715.5894	1033.81895	829.9827	302.6775	818.242484	1139.1681	379.96169
SEC14L2	100.40322	21.570482	93.65946	74.041478	298.56042	67.47186	17.08202167	343.54275	71.4287	186.415413	359.958	45.75172	43.261	305.0844	59.4254	42.58962
SEC14L3	0	0	4.99904	4.37272	4.39214	4.0925	1.04345	42.9679	8.00943	4.42918	0	6.06982	0	2.22796	24.6918	5.22321
SEC14L4	0	0	3.16202013338398e-321	0	0	0	20.4639	0	10	0	0	0	2.65E-21	0	0	0
SEC14L5	0	0	0	0	0	0	0.454331	30.2811	0	0	0	0	0	0	0	4.90607186320358e-321
SEC14L6	78.748	33.6224	56.6152	80.7267	46.8862	65.2333	210.4425	164.7185	75.9193	72.4652	4.11107	107.021	93.1861	244.543	167.52	93.6529
SEC16A	1359.214	1899.73	506.5045	984.681	695.702	1123.0599	1446.4513	1163.72	818.7382	795.03661	313.604	488.304	883.0135	915.088	105.9155	210.2414
SEC16B	2.13238732745082e-320	33.6774	25.9927	4.67E-233	27.0781	0	32.7427	16.0304	0	0	0	10.241252	14.6284	99	29.6614	21.3609
SEC22A	221.6215	383.4597	272.4539	242.81587	258.3198	228.393874	123.3902	361.86773	436.797	480.55438	370.0136	310.5564	168.16042	123.3125	164.9413	158.2882
SEC22B	1101.9907	1221.9563	1047.5254	1009.6264	673.7976	1256.5118	966.7584	965.8637	1531.198	2039.4586	1773.577	1355.878	1456.1274	2343.4463	1410.7458	838.4497
SEC22C	397.02112	336.65158	564.40558	225.61225	585.36733	363.8079	942.98698	235.04463	207.09826	396.56632	191.4621	297.84435	339.0124	28.8564	369.95557	284.887974
SEC23A	473.06677	270.728	820.01941	364.78439	530.777	542.781236	468.12595	901.3524	1143.42095	401.71559	1022.99313	826.07031	263.67839	507.28883	1056.4585	695.8869
SEC23B	543.00084	360.8284	274.4436	301.47465	729.9989	611.0737	1366.9994	333.0005	563.0005	698.3019	526.9998	731.9992	804.99925	438.0003	483.0005	337.0004
SEC23IP	1003.314	801.0646	962.283	603.7177	818.4415	1306.2096	1163.0253	809.28	919.62	1667.8559	1030.5806	1413.9924	1304.3317	550.7266	1142.731	665.4084
SEC24A	1219	858	889.9995	781.00011	449.9999	891.9996	344.9999	311.0003	1311.0031	1266.0008	882.9991	743.0005	971	375	1513.998	627
SEC24B	543	806	830.8235	755.177	1394.946	727.628	518.2795	990.636	1193.615	2035.264	956.0451	1118.7	509.7006	761.722	786.021	709.679
SEC24C	602.714	731.448	594.698	347.278	125.406	685.6564	897.28	396.3778	513.6483	65.01327	199.315	451.6897	5.97819431467908e-322	0	584.7124	451.657
SEC24D	200.109	1207.887	110.993	1075.7705	340.34104	501.715	581.11	651.078	693.4601	1036.1013	265.9012	439.2874	626.499	375.035	719.9427	752.353
SEC31A	3002.287694	2806.1446	3214.0533	1820.80782	3120.148721	3964.82669	2077.95379	2658.6826	3582.3704	3962.214203	2445.8004	3233.51609	2089.0502	2410.60317	2950.042543	2335.12562
SEC31B	1.07656904228808e-320	20.2605	1.88595	3.09779159942462e-321	0	28.2669	9.98E-207	42.6386	0	17.7606	2.04049111732435e-321	0	6.82E-14	5.60575	124.652	1.43180224164793e-320
SEC61A1	2084.7946	3291.875	1636.6605	1232.864	2266.9502	3675.11	2948.787	1671.57616	2443.7787	2437.7949	2093.6852	2560.9918	2542.554	1855.981	1486.7808	1405.8866
SEC61A2	53.12892	8.30405	91.55486	19.33937	7.562984	26.15165	130.93786	71.75049	160.869	72.67907	24	36.6609	59.99999	34	26.70059	65.05574
SEC61B	208	245.992	212	136.6108	538.976	426.7911	435.969	384	335	223.952	311.681	254.1610008	498.892	314	390.862	186.592
SEC61G	770.78872	622.543	436.3367	392.22439	506.55097	524.7415	615.877	754.12946	611.6779	2258.90034	554.2477	771.94823	790.4424	378	557.106	280.45074
SEC62	3201.113	3623.473	1670.932	2284.563	2542.395	3198.057	2257.897	3489.676	4753	7672.5	2264.07	4598.43	2340.893	5436.813	3403.724	2168.253
SEC63	2039.56	1126.0926	1052.38	1237.1218	806.236	1696.06	1592.215	1172.46	1365.29	1435.58	852.5016	1626.9375	1522.5469	1509.07	1164.9818	884.0222
SECISBP2	514.653045	1143.8453	459.9804	435.5282	419.50223	439.6267	434.69145	672.0242	660.0279	420.3442	380.9087	460.53632	613.9602	923.71	642.8315	395.27962
SECISBP2L	1416.26945	3735.617	1426.26994	1086.407	1384.3298	1626.80163	981.717	909.0098	1955.9162	1649.6484	1410.85764	1586.3301	2378.6303	1556.62	1828.339	982.8448
SECTM1	9.29998	431.21	47.99997	71.57551	125.9049	109.78476	132.9719	47.1975	126.1195	23.00002	182.9998	194.3167	86.1316	91.8262	133.32239	40.3638
SEH1L	285.615	315.4247	108.8274	167.315	101.63534	246.7625	58.6841	391.774	94.397	371.2352	116.9535	205.3856	109.9227	0	110.45525	175.42001
SEL1L	2785.506	2833.9815	1609.23917	2024.6889	1971.811	3206.696	1942.069	1165.363	2968.835	1541.4047	2772.185	3114.8746	2041.263	1819.676	4503.6836	1378.8254
SEL1L2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
SEL1L3	589.937	1500.10217	1165.9994	1248.64414	1254.60553	1523.47119	674.48477	1383.7794	1916.4742	934.59336	1397.627824	1747.54503	909.7991	1630.002	2196.09477	751.0453
SELE	0	13	14.3758	6	0	0	14	0	15.2837	4.49645	59.000009	36.7505	15	0	94.7099	0
SELENBP1	2.29E-70	82.52600923	8.76458	37.5477031	165.88279	117.37848	1459.2532	418.6368	13.099	53.21952389	113.3324	52.12787	907.6179	129.8396	38.0477	27.52499
SELENOF	665.766	771.475	433.24426	544.57	881.23958	918.7298	619.1966	619	694.8481	1767.4478	1178.1368	1499.648631	827.129	729.664	1062.7813	802.019
SELENOH	557.592	652.7974	276.7172	385.78	768.06203	552.25796	643.87474	561.9908	282.4986	448.6302	218.54389	232.996	277.1616	224.9998	155.29145	217.3013
SELENOI	2.60207	830.0793	8.23E-41	69.1335	0	46.80526	204.675	0	169.59741	83.0354	15.1327	73.4893	246.313	41.227	14.61526	75.2774
SELENOK	147.11	128.9986	192.7756	184.1417	71.89811	105.7741	147.0311	160.92341	38.5001	121.2676	206.40684	138.146	93.6642	41.5814	59.2524	96.9184
SELENOM	33.3805	1.8938	92.0986	83.2336	56.2814	176.052	22.817	277.2806	83.1763	201.36953	5.61106	113.8873	0	73.4007	49.0404	96.3991
SELENON	922.224	1324.408	971.693	853.5170001	964.8939	1640.124	1229.1401	1033.28	586.6998	315.0307	551.4719	569.53048	361.574	618.6547306	397.4286	513.2772
SELENOO	65.5431	114.333	46	98	113.911	88.5626	61.97490027	47.0856	12.58542	17.1287	93.65918	6.400660148	10.02215	0	3.99612	1.92301
SELENOP	524.84262	1226.2087	969.34271	2329.4006	2149.75179	3043.2985	563.851	773.3821	2988.4375	5155.67917	3776.080144	6628.0088	1018.4947	7571.392	5186.914	1261.3046
SELENOS	441.2502	668.5722	286.9052	455.0692	547.07775	431.9511	331.01776	291.9997	382.686	274.2087	449.6251	475.45278	274.9998	559	641.9021	418.38289
SELENOT	702.0529	1078.51998	696.00029	467.24739	492.052	802.99672	583.4441	214.9513	987.4059	754.6656	958.539	1292.32109	645.4763	102	786.705	633.0011
SELENOV	0	0	2.999998	0	0	1.0791287	4.40458	1	0	1.023202105	0	0	9.99999	0	1.000000002	4.80174
SELENOW	131.8206	58.8023	103.443	29.1741	249.71245	258.70264	119.083	81.9091	169.76065	281.41721	45.6497	314.8569	2.79E-14	443.6402	146.311	18.6457
SELL	26.0709	199.112	33	130.559	6.52869	143.546	21.5747	0	116.655	16.4934	335.277	413.962	74.7714	111.305	603.303	37.2668
SELP	0	4	22.93192	22.29408	0	14.239294	0	0	54.4845	22.3011	43.5984	230.3175	20	7.33091	32.7248	16
SELPLG	58.99994	158.0003	156.00014	219.0004	185	425.00036	128.99998	79	137	44	127.99992	334.0005	61.000004	395	315.0003	67
SEM1	714.74663	296.15828	50.01261	256.14066	1022.4591	118.62471	1400.75	351.0162	555.48084	1402.35748	412.8995	1095.71304	1093.78266	684.731	1039.25665	896.97186
SEMA3A	579.99942	436.99988	205.2218	293.0005	354.00031	718.5068	517.99946	66	706.0002	83.9999	765.0002	886.0002	3764.7357	1047	609.00041	321.0003
SEMA3B	64.3995	101.6232	158.8169	124.0099	251.5962	200.0668	484.6158	271.6383	139	370.9642	10.2302505	133.585	90.5056	481.763	64.0354	182.53818
SEMA3C	9145.35	536.853	3059.99	6452.23	400.4957	9373.16	1715.623	1214.14	7412.39	1018.657	1597.062	4034.92	16443.45	2781.392	4682.52	4231.62
SEMA3D	138.354	0	23.6616	84.877	9.09214	149.087	18	69.891	107.071	0	144.306	30.4197	7.72035	233.434	207.593	166.025
SEMA3E	0	0	7	36.74885	0	1119.267	3292.694	93.8536	96.995	26.0207	41	169.29179	7119.255	138	56.7260445	85.9219
SEMA3F	193.17561	1212	312.9996	125.6034	445.9998	366.0002	609.9999	397.9999	87	636.0199	128.37586	119.6686	204.7623	28	132.30726	179.5287
SEMA3G	18	225	13	148.9999	0	89.11756	254	190.354	44.88064	11.4427	55.0538	90	8	140	136.9998	17
SEMA4A	26.6392	283.928	34.00000306	89.7989	105.779	220.09738	94.5882	63.6294	163.000122	75.6955	8.99957	90.0511	49	0	197.3402	43.91801
SEMA4B	237.99193	35.9566	78.23528	10.2515	23.86145	74.66637	82.63345	0.0490307	126.25632	149.28501	33.807	145.3659	98.5372	27.9761	26.8736	120.57081
SEMA4C	166.8504	110.97881	197.0192	267.1987	75.5982	412.9583	787.5655	386.1743	188.9959	324.5287	263.6911	5.21818	302.4463	0	135.3602	218.3844
SEMA4D	353.7728	1886.9064	549.18011	648.82766	615.01625	803.56295	763.0612	486.954	583.82248	470.42274	259.939897	335.74821	336.3633	308.2519021	791.36402	331.1893
SEMA4F	129.3248	109.51882	159.03975	72.8909	90.8762	118.46774	315.377693	97.4607	36.3259	61.60107	89.146	18.270962	63.564	67.3078	31.9581	142.57271
SEMA4G	215	2.40539	12.16773	65.02048	95.02122	44.5869	34	23	68.0681	33.99958	48.1683	13.499723	10.76863	18	55.8461	60.3397
SEMA5A	1699.312	763.38424	1294.546	965.8891	817.199	1483.1553	796.9396	430.326	746.53	557.3659	834.813	717.041623	296.20635	1756.27	883.469	783.204
SEMA5B	21	0	25.572	197.99974	24	83.00000003	61.0573	56	107.262	12.33814	0	14	30.5952	1	0	44.43622
SEMA6A	504.7017	65.99538	123.826021	630.9211	142.9664	282.4267	167.33797	42.113833	105.519	75.5092	58.48735	86.59672	115.4187	1	116.6794	127.844
SEMA6B	53	56	62.1136	53.2177	61	135.1635	73.99999	83.28024	44	23	65	154.5993	41.00004	171.00024	17.99996	15.00003
SEMA6C	105.36542	22.5341	233.8096	141.0606	37	90.6889	284.3707	372.00009	29.00004	141.7191	13.98431214	38.99996	6	68	35.5238	213.1977
SEMA6D	251.4874	158.25526	383.3508	468.4368	98.33652	302.2894	272.2624	213.10141	548.35704	408.5807	128.121863	294.50006	656.1791	375.4931	304.8218	258.7922
SEMA7A	102.00001	113.00008	78	113.9999	156.30247	164.0115	138.0004	112.7793	92.00004	62	5	17.3938	39	0	89	59
SEMG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SEMG2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3
SENP1	202.74579	534.6298	475.40074	189.04963	287.5552	286.72842	378.9971	536.607	175.7582	809.7169	690.4003	511.97062	604.746	482.619	397.82475	427.4179
SENP2	300.82386	349.65309	481.5386	285.296	185.418	208.072	361.837	263.6376	191.967	294.863	223.877	248.3522	215.7793	104.608	222.3936	264.668
SENP3	8.44852254388532e-322	121.4084	27.39015	112.56855	38.8707	77.77136	104.104	106.750636	5.68972	28.3809402	36.314645	27.8777	148.1169	0	16.3521	32.27888
SENP5	715.8924	1433.958	960.9119	680.4505	1089.0601	960.727	1275.9014	2099.7618	1033.6742	2485.0762	1165.395	882.765	1297.9372	488.34838	737.76399	718.1331
SENP6	1688.024	591.924	533.54998	821.7186	648.8283	897.783	960.4674	894.5404	1075.878	1266.044	717.2518	1335.064	1098.7663	1140.3375	1007.829	700.97
SENP7	871.1084	878.45894	366.03665	674.1363	235.86937	601.5546	455.13365	1035.10313	1118.51487	1897.5689	735.114	991.9441	845.5974	249.39783	1074.79015	432.19142
SENP8	102.199	42.27583	53.48320049	58.3149	12.02959	75.96001	46.9902	122.645	49.70669	50.83818	41.1845	107.318055	64.45461	20.1713	57.9397	30.0249
SEPHS1	531.98905	1002.997	509.7644	373.9383	852.9998	646.98458	1083.145	399.422385	344.0145	508.20364	583	513.3686056	701.606	762.9995	297.6298	290.8765
SEPHS2	281	1237	661	461	727	893	871	893	594	875	425	637	714	400	393	423
SEPSECS	19.2641	106.022	77.0919	76.2506	18.6286	46.84	57.1093	135.0979	138.572	143.8065	70.3678	67.46158	83.8866	369.4119	116.2819	51.7402
1-Sep	0	12.1078	0	16.8257	0	20.216	0	0	0	0	1.52E-202	3.99815	14.6111	0	6.34E-296	0
10-Sep	728.1009	1218.4595	1054.46534	582.8357	946.9895	961.88065	791.2989	757.754	852.8005	1224.76988	1012.6139	1011.43935	863.0780211	803.69431	915.02716	942.58677
11-Sep	1500.132	451.11733	1256.5561	1022.79517	1365.4926	2199.0128	417.8759	1059.88727	2298.2625	380.78803	334.0396	1169.1632	333.1524	1579.781	2310.2693	901.15244
12-Sep	0	0	2.39E-202	0	0	0	0	0	0	1	0	0	0	0	0	22.99998
14-Sep	60.4756	63.1494	68.9956	51.4599	38.9612	30.0715	102.183	81.1059	26.4123	33.086	27.7212	56.779	158.489	3.0425	150.948	49.2377
2-Sep	3658.7572	4017.23194	3587.762	2586.9252	2554.19732	3566.000281	2321.4705	844.3099	3186.028974	1645.335403	2642.11647	3775.364855	4377.56645	2292.827797	2114.9665	3283.967
3-Sep	39.46913	60.091692	59.17819	36.62098	171.0987	74.02904	202.77708	141.2353	10.77385	70.07	50.07202	8.6078	34.1436	26.4535	29.8169	81.0197
4-Sep	68.1596	23.16506	64.3122	26.64217	128.9675	237.1588801	26.08624	0	198.4341	18.5191	22.7985	32.75805	0	1.17E-05	110.4871	75.74197
5-Sep	102.5848	38.66888	86.1629	132.3006141	172.36966	92.21827	140.20598	155.1236	154.00003	35.18826	15	71.71781	48.99769	0	89.25321	20.209295
6-Sep	311.04666	925.739	378.2369	593.391	681.6705	645.2973	136.72	160.5969	484.1306	329.212006	347.8098	485.9414	166.51209	574.16931	1129.8329	328.1066
7-Sep	993.5176	1570.4837	492.9860002	657.596	553.13157	1062.60462	582.3248	556.4957	1659.64608	1604.11549	1469.0442	1450.07721	1090.78217	3081.7791	1402.35305	1067.69201
8-Sep	1349.2628	1692.99939	2275.8847	1099.318	1212.01545	2289.18095	604.0008	1215.8859	812.5505	606.0001	551.35	1126.4825	242.9998	741.1541	983.9999	1244.99737
9-Sep	4135.9524	5613.6377	2143.22102	2457.07625	7183.4285	5709.66518	3664.17467	3498.9053	2139.5621	1542.06681	1859.69014	1809.30596	752.35878	1201.122572	975.16539	1078.78207
SERAC1	41.13531	40.72381	100.56549	69.5859	74.0704587	96.80254	392.6159	176.1914	30.19661	107.3631	89.00909	110.2314	315.6953	124.00287	65.95888	80.7721
SERBP1	5493.177	5607.713	5204.74	2624.777	6957.186	4796.064	5699.274	3271.128	2727.157	6220.803	7146.36	4847.009	6412.297	3365.4122	3120.028	2544.2905
SERF1A	98.00834	72.1859467	127.7368	111.469525	134.21814	54.1374	56.83605	186.16627	53.59733	125.182149	34.385919	42.50552	72.99932	0	56.75737008	55.17884
SERF1B	223.78154	55.5378934	93.97758	63.129605	281.1789	137.85006	116.89544	80.46597	142.8213613	89.3364726	123.281969	90.94683	127.93642	135.4446	142.4462001	108.582675
SERF2	2774.6629	4734.1199	1524.416913	2241.726	3955.08347	2760.2303	2708.6061	2903.49671	1324.0499	2709.4779	1523.28439	2743.25123	1084.99876	2646.84874	2747.3621	2133.95243
SERGEF	69.9552	40.74063	70.56081	33.9889	89.68503	44.57803	113.34527	89.81419	58.00003	106.38777	64.2055	9.25562	84.91846	24.9815	162.4011291	98.0755
SERHL2	16.14089	4.77225	22.17	20.12127	17.71911	10.919689	16.0556	24.8458	42.77066	5.196476	15.18658	0	0	1	1.56618809731675e-321	0
SERINC1	2387.57	2125.98	2237.34	1527.66	962.772	3030.57	1400.02	1104.35	3124.79	2242.89	2324	3717.07	2360.9	2434	2268.48	1653.01
SERINC2	437.624	255.13	348.2846	97.9744	149.2962	616.2816	855.944	156.52	116.486	94.4341	11.2206	85.2429	318.7115	0	22.9334	211.2082
SERINC3	3327.76993	2604.68	1881.08	1666.1359	1453.3154	2906.1189	1859.2259	1835.1572	2091.42	3321.219	2897.494	2333.103	2161.3819	1052.61	1823.336	1404.802
SERINC4	2.96439387504748e-322	19.6736	49.2789	1.36856183898025e-321	0.018422	0	2.91992796692177e-321	0	8.15208315638057e-322	0	1.92685601878086e-322	0	1.67982319586024e-322	0	7.49007	2.02566914794911e-322
SERINC5	2551.97	743.739	2787.0588	2041.2182	867.41	1697.27	2450.6219	870.771	2274.43	656.6905	2045.968	972.318	1511.09189	289.193	571.422	1622.0659
SERP1	1377.9974	1767.001	1478.00095	1048	1404	2249.2534	1903.1109	822.2256	1852.996	1194.4002	1361.3511	1461.0712	1947.3457	802	1260	955.5532
SERP2	18.0206	0	37	11.4922	0	18.57624	17	3	16	65	0	3	0	53	3	85.749
SERPINA1	1934.85661	1381.99972	1111.0004	321.9998054	1494.99894	1743.762368	444.6653	732.49056	500.00028	846.99969	958.53814	1933.580372	187.00019	400	780.30837	757.690846
SERPINA10	80.6562	58.6688	162.0586	47.88409	13.05041	63.36426	23.82009	165.8442	103.2385	86.6663	15.82335	94.551	120	39.9861	97.8682	91.9963
SERPINA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SERPINA12	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA3	34.00001	14	28.00003	30	84	45	1111.70209	92	107.64922	126.7343	96.15220335	75.37541	73.2865	0	33	17.95029
SERPINA4	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1
SERPINA5	223.7069	0	71.00003	108.0415	35.99999	130.69874	2199.37554	211.1975042	95.7536	1563.35896	23.000001	21.76107	162.80974	0	2	44.8268
SERPINA6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SERPINA7	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
SERPINA9	0	0	2	7.77E-67	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB1	319.743	1442.43	495.513	361.534	1116.45	550.332	215.384	710.04	249.235	1499.88	559.231	784.381	391.205	508.142	503.283	330.369
SERPINB10	18.00003	26.5438	27.46755	17.2635	8	7.35011	25.8117	10.544992	16.0581	8.06063	1.18575755001899e-322	4.13582	2.20403	51	18.2282	18.14
SERPINB11	4.31798	1	6.05213	0	0	3.12397	3	4.0883	0	1.28997	0	0	0	0	58	0
SERPINB12	0	0	0	0	0	0	0	0	8.000003	0	0	0	0	0	19	0
SERPINB13	0	0	0	0	0	0	0	0	0	0	0	5	6	0	1.76183809306989e-320	4.000005
SERPINB2	261.0003	4.4096	43.5311	0	9	19.0671	0	41.5687	38	0	834.5416	332.99953	4	1506	352.79423	20.5791
SERPINB3	13	0	8	0	0	0	0	0	0	0	116.4434	5.92921	0	46	107.424	4.17596
SERPINB4	0	0	7	0	0	0	0	0	0	0	199.55672	10.07079	0	0	43.37191	13.82408
SERPINB5	0	14	165.8265	0	7.07377	75.32284	154.4293	0	11	37.26799	0	62.58839	24.02605	2.0367	0	131.7784
SERPINB6	846.29899	1131.00116	533.00503	492.0359	1920.0115	1197.14599	625.1021	465.11226	438.0002	1051.1161	445	883.4241	345.46854	951.9133	493.0001	455.02209
SERPINB7	0	0	11	0	2.000001	17	4	0	13	1	19.99997	10	0	0	17	20.99996
SERPINB8	199.0001	162	195.99989	70.00001	213	239.9997	137.99994	27.00004	186.9999	143.80634	101.99999	365.00023	43	36	136.9998	181.00046
SERPINB9	342.429	466.823	228.085	276.501	260.523	324.732	206.148	532.499	354.748	395.391	183.049	432.297	213.063	520.926	299.455	108.398
SERPINC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPIND1	3	21	10	13	6	16.00003	13	17	66	16	21	18	0	0	18.99999	4
